Date,Close,Open,High,Low,Volume
2019/12/23,42.9,44.19,44.89,42.5,283.66K
2019/12/24,41.74,42.98,43,41.39,317.13K
2019/12/25,40.77,41.74,41.77,40.62,285.53K
2019/12/26,39.96,40.77,40.9,38.35,715.93K
2019/12/27,39.58,39.96,40.41,38.35,422.91K
2019/12/28,41.85,39.61,42.84,39.49,489.36K
2019/12/29,44.58,41.85,45.01,41.28,655.91K
2019/12/30,42.23,44.57,44.67,42.15,394.05K
2019/12/31,41.2,42.23,42.7,41.04,370.07K
2020/1/1,41.82,41.2,42.59,40.9,255.74K
2020/1/2,39.98,41.82,41.88,39.93,303.18K
2020/1/3,43.89,40,43.99,39.94,382.02K
2020/1/4,46.19,43.85,46.98,43.03,1.14M
2020/1/5,51.19,46.19,53.26,46.18,1.14M
2020/1/6,56.6,51.18,57.39,50.86,1.18M
2020/1/7,54.68,56.6,57.51,53.53,793.52K
2020/1/8,52.42,54.67,56.97,51.33,547.62K
2020/1/9,50.55,52.42,53.19,49.98,459.64K
2020/1/10,56.82,50.55,56.84,49.8,745.43K
2020/1/11,63.56,56.82,67.54,55.8,1.39M
2020/1/12,66.21,63.54,67.85,62.2,984.96K
2020/1/13,69.44,66.21,71.15,63.76,785.67K
2020/1/14,89.43,69.44,89.66,69.44,2.15M
2020/1/15,132.92,89.47,132.92,88.73,4.06M
2020/1/16,127.63,133.04,134.34,113.1,2.57M
2020/1/17,113.48,127.64,127.84,110.07,2.24M
2020/1/18,101.23,113.48,116.17,95.09,2.00M
2020/1/19,104.95,101.23,109.12,92.22,1.59M
2020/1/20,109.42,104.96,115.47,100.06,1.47M
2020/1/21,110.61,109.58,114.28,105.88,942.67K
2020/1/22,107.75,110.61,112.92,106.93,667.86K
2020/1/23,102.67,107.75,108.06,98.42,798.26K
2020/1/24,100.28,102.66,103.83,93.65,783.37K
2020/1/25,101.69,100.27,103.91,97.52,475.22K
2020/1/26,111.03,101.6,112.58,100.25,1.17M
2020/1/27,112.86,111.04,119.5,109.8,1.42M
2020/1/28,115.65,112.85,117.64,111.26,1.17M
2020/1/29,121.71,115.73,128.37,115.04,1.59M
2020/1/30,122.03,121.72,126.81,117.95,1.23M
2020/1/31,115.73,122.05,124.43,113.08,1.01M
2020/2/1,116.66,115.75,119.74,114.69,594.37K
2020/2/2,114.32,116.65,117.31,112.95,561.85K
2020/2/3,115.3,114.32,117.28,111.02,564.25K
2020/2/4,110.85,115.3,115.67,110.85,558.96K
2020/2/5,122.91,110.82,124.49,109.87,972.82K
2020/2/6,120.3,122.91,124.6,117.78,1.01M
2020/2/7,118.68,120.3,122.88,117.74,655.96K
2020/2/8,126.33,118.68,131.52,113.1,1.33M
2020/2/9,128.46,126.33,130.36,123.85,791.89K
2020/2/10,127.68,128.45,128.64,120.32,750.47K
2020/2/11,129.2,127.68,133.27,123.89,667.41K
2020/2/12,133.55,129.2,136.87,129.16,745.06K
2020/2/13,131.27,133.61,137.85,128.09,822.76K
2020/2/14,133.19,131.27,134.33,128.25,488.56K
2020/2/15,120.72,133.19,133.28,116.27,635.31K
2020/2/16,111.17,120.72,123.43,101.19,899.95K
2020/2/17,114.67,111.17,116.25,101.98,876.94K
2020/2/18,115.49,114.67,117.43,107.25,602.32K
